X,Y,NAME,ADDRESS,ZIPCODE,WARD,LATITUDE,LONGITUDE,OBJECTID,XCOORD,YCOORD,MAR_ID,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-8576484.37767301,4707592.83949799,First National Bank,900 19TH STREET NW,20006,Ward 2,38.90164025,-77.04386751,647,396194.85,137088.26,242553,BankPt_26,,{DEA8A4BD-6D63-4775-9596-255A32BCA625},GHATCHARD,2024/05/01 17:51:42+00,GHATCHARD,2024/05/01 17:51:42+00
-8580961.75806501,4715719.49038321,Founders Bank,5225 WISCONSIN AVENUE NW,20015,Ward 3,38.95842359,-77.0840875,648,392711.9,143394.18,265902,BankPt_28,,{8EF52983-B8B3-4813-8BBC-27DCD36C6353},GHATCHARD,2024/05/01 17:56:19+00,GHATCHARD,2024/05/01 17:56:19+00
-8578277.2327977,4707986.78602639,Hingham Institution for Savings,1061 THOMAS JEFFERSON STREET NW,20007,Ward 2,38.9043929,-77.0599714,649,394798.17,137394.62,273858,BankPt_32,,{A49D4F25-2960-4686-8E77-3DAC8CCE9AEB},GHATCHARD,2024/05/01 18:00:49+00,GHATCHARD,2024/05/01 18:00:49+00
-8574065.84991564,4707361.11206178,HSBC Bank,802 7TH STREET NW,20001,Ward 2,38.90002101,-77.02214013,650,398079.48,136907.83,243178,BankPt_33,,{2CFF849F-9CE0-47A7-86AE-5B8C626EE224},GHATCHARD,2024/05/01 18:05:57+00,GHATCHARD,2024/05/01 18:05:57+00
-8573997.7217384,4710121.57757181,Chase Bank,2201 GEORGIA AVENUE NW,20059,Ward 1,38.91931531,-77.02153139,651,398132.79,139049.68,218648,BankPt_35,,{F77B683B-9810-4475-A014-18DC0FDBBD71},GHATCHARD,2024/05/01 18:49:52+00,GHATCHARD,2024/05/01 18:49:52+00
-8574689.01600471,4707092.05866785,Chase Bank,1120 G STREET NW,20005,Ward 2,38.89813419,-77.02773853,652,397593.79,136698.51,239133,BankPt_36,,{8DA5F1B4-BC6C-4F7D-80C2-15D01F558A21},GHATCHARD,2024/05/01 18:53:46+00,GHATCHARD,2024/05/01 18:53:46+00
-8576280.99638704,4708248.13920331,Chase Bank,1212 18TH STREET NW,20036,Ward 2,38.90621611,-77.0420403,653,396353.58,137596.18,241288,BankPt_39,,{B7040A5B-64A0-4C6C-99AF-BB3B9836DC77},GHATCHARD,2024/05/01 18:58:41+00,GHATCHARD,2024/05/01 18:58:41+00
-8575128.83952285,4708676.8753787,Chase Bank,1401 14TH STREET NW,20005,Ward 2,38.90921727,-77.03169083,654,397251.37,137928.97,300897,BankPt_41,,{C8CE6E8D-B9BF-409B-B60A-C0151EDAD3C1},GHATCHARD,2024/05/01 19:01:48+00,GHATCHARD,2024/05/01 19:01:48+00
-8575850.69127005,4707789.81113451,Chase Bank,1667 K STREET NW,20006,Ward 2,38.90301731,-77.03817411,655,396688.77,137240.94,279291,BankPt_42,,{6749D51A-76BE-4A3E-B4EF-141EE1F5F6AD},GHATCHARD,2024/05/01 19:05:00+00,GHATCHARD,2024/05/01 19:05:00+00
-8578541.22732295,4708061.45749781,Chase Bank,3140 M STREET NW,20007,Ward 2,38.90491243,-77.06234542,656,394592.29,137452.43,273830,BankPt_60,,{8CC8F67B-971F-4267-A2A2-BA5094E25982},GHATCHARD,2024/05/01 19:07:16+00,GHATCHARD,2024/05/01 19:07:16+00
